date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:11:56	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2003%20Jul%202021%2005:11:55%20GMT	https://relaxdestination.com/robots.txt		(from )
13:11:56	29109/29109	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Mar%202021%2014:19:34%20GMT	https://relaxdestination.com/	D:/httrack/NEw%20massage/relaxdestination.com/index.html	(from )
13:11:57	39891/39891	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Mar%202021%2014:19:34%20GMT	https://relaxdestination.com/resources/images/logos/logo.png	D:/httrack/NEw%20massage/relaxdestination.com/resources/images/logos/logo.png	(from https://relaxdestination.com/)
13:11:59	59344/59344	---M--	200	added ('OK')	text/css	date:Fri,%2005%20Mar%202021%2014:19:34%20GMT	https://relaxdestination.com/resources/libs/icons/fontawesome-5.15.2/css/all.min.css	D:/httrack/NEw%20massage/relaxdestination.com/resources/libs/icons/fontawesome-5.15.2/css/all.min.css	(from https://relaxdestination.com/)
13:12:00	161409/161409	---M--	200	added ('OK')	text/css	date:Fri,%2005%20Mar%202021%2014:19:34%20GMT	https://relaxdestination.com/resources/libs/bootstrap-4.6.0/css/bootstrap.min.css	D:/httrack/NEw%20massage/relaxdestination.com/resources/libs/bootstrap-4.6.0/css/bootstrap.min.css	(from https://relaxdestination.com/)
13:12:00	3351/3351	---M--	200	added ('OK')	text/css	date:Fri,%2005%20Mar%202021%2014:19:34%20GMT	https://relaxdestination.com/resources/libs/owlcarousel2-2.3.4/dist/assets/owl.carousel.min.css	D:/httrack/NEw%20massage/relaxdestination.com/resources/libs/owlcarousel2-2.3.4/dist/assets/owl.carousel.min.css	(from https://relaxdestination.com/)
13:12:01	1013/1013	---M--	200	added ('OK')	text/css	date:Fri,%2005%20Mar%202021%2014:19:34%20GMT	https://relaxdestination.com/resources/libs/owlcarousel2-2.3.4/dist/assets/owl.theme.default.min.css	D:/httrack/NEw%20massage/relaxdestination.com/resources/libs/owlcarousel2-2.3.4/dist/assets/owl.theme.default.min.css	(from https://relaxdestination.com/)
13:12:03	57095/57095	---M--	200	added ('OK')	text/css	date:Fri,%2005%20Mar%202021%2014:19:34%20GMT	https://relaxdestination.com/resources/libs/wow-1.3.0/css/libs/animate.css	D:/httrack/NEw%20massage/relaxdestination.com/resources/libs/wow-1.3.0/css/libs/animate.css	(from https://relaxdestination.com/)
13:12:03	4602/4602	---M--	200	added ('OK')	text/css	date:Fri,%2005%20Mar%202021%2014:19:34%20GMT	https://relaxdestination.com/resources/css/main.css	D:/httrack/NEw%20massage/relaxdestination.com/resources/css/main.css	(from https://relaxdestination.com/)
13:12:04	870/870	---M--	200	added ('OK')	text/css	date:Fri,%2005%20Mar%202021%2014:19:34%20GMT	https://relaxdestination.com/resources/css/custom.css	D:/httrack/NEw%20massage/relaxdestination.com/resources/css/custom.css	(from https://relaxdestination.com/)
